sku,date,pred
S003_P0014,2024-01-04,0.0
S003_P0014,2024-01-05,14.51389503479004
S003_P0014,2024-01-06,41.762474060058594
S003_P0014,2024-01-07,0.0
S003_P0014,2024-01-08,24.2888240814209
S003_P0015,2024-01-02,0.0
S003_P0015,2024-01-03,26.93690299987793
S003_P0015,2024-01-04,0.0
S003_P0015,2024-01-05,10.775287628173828
S003_P0015,2024-01-06,8.14980411529541
S003_P0015,2024-01-07,20.315502166748047
S003_P0015,2024-01-08,0.0
S003_P0016,2024-01-02,4.30188512802124
S003_P0016,2024-01-03,30.9627742767334
S003_P0016,2024-01-04,10.0319185256958
S003_P0016,2024-01-05,12.082723617553713
S003_P0016,2024-01-06,11.698501586914062
S003_P0016,2024-01-07,9.921226501464844
S003_P0016,2024-01-08,28.715919494628903
S003_P0017,2024-01-02,0.0
S003_P0017,2024-01-03,0.0
S003_P0017,2024-01-04,8.289593696594238
S003_P0017,2024-01-05,0.0
S003_P0017,2024-01-06,0.0
S003_P0017,2024-01-07,37.42195129394531
S003_P0017,2024-01-08,19.19460105895996
S003_P0018,2024-01-02,0.0
S003_P0018,2024-01-03,14.293112754821776
S003_P0018,2024-01-04,83.06382751464844
S003_P0018,2024-01-05,28.47729110717773
S003_P0018,2024-01-06,75.5967025756836
S003_P0018,2024-01-07,15.470672607421877
S003_P0018,2024-01-08,19.019926071166992
S003_P0019,2024-01-02,7.303053855895996
S003_P0019,2024-01-03,47.19958114624024
S003_P0019,2024-01-04,14.864293098449709
S003_P0019,2024-01-05,6.302182197570801
S003_P0019,2024-01-06,0.0
S003_P0019,2024-01-07,0.0
S003_P0019,2024-01-08,23.969554901123047
S003_P0020,2024-01-02,0.0
S003_P0020,2024-01-03,5.911308765411377
S003_P0020,2024-01-04,34.86272430419922
S003_P0020,2024-01-05,4.424140453338623
S003_P0020,2024-01-06,91.14544677734376
S003_P0020,2024-01-07,0.0
S003_P0020,2024-01-08,0.0
S004_P0001,2024-01-02,29.192970275878903
S004_P0001,2024-01-03,23.8349552154541
S004_P0001,2024-01-04,3.2784602642059326
S004_P0001,2024-01-05,0.0
S004_P0001,2024-01-06,0.0
S004_P0001,2024-01-07,0.0
S004_P0001,2024-01-08,0.0
S004_P0002,2024-01-02,0.0
S004_P0002,2024-01-03,0.0
S004_P0002,2024-01-04,3.642980098724365
S004_P0002,2024-01-05,18.00047492980957
S004_P0002,2024-01-06,0.1934778839349746
S004_P0002,2024-01-07,0.0
S004_P0002,2024-01-08,0.0
S004_P0003,2024-01-02,22.26658821105957
S004_P0003,2024-01-03,15.359624862670898
S004_P0003,2024-01-04,4.732924938201904
S004_P0003,2024-01-05,35.38484191894531
S004_P0003,2024-01-06,27.184812545776367
S004_P0003,2024-01-07,31.38319969177246
S004_P0003,2024-01-08,70.87017822265625
S004_P0004,2024-01-02,8.294310569763184
S004_P0004,2024-01-03,2.8848438262939453
S004_P0004,2024-01-04,13.071499824523926
S004_P0004,2024-01-05,3.818817138671875
S004_P0004,2024-01-06,0.0
S004_P0004,2024-01-07,13.764856338500977
S004_P0004,2024-01-08,0.0
S004_P0005,2024-01-02,0.0
S004_P0005,2024-01-03,21.81058883666992
S004_P0005,2024-01-04,0.2299084663391113
S004_P0005,2024-01-05,30.73078346252441
S004_P0005,2024-01-06,17.662044525146484
S004_P0005,2024-01-07,12.220097541809082
S004_P0005,2024-01-08,1.1257914304733276
S004_P0006,2024-01-02,35.89102554321289
S004_P0006,2024-01-03,0.0
S004_P0006,2024-01-04,0.0
S004_P0006,2024-01-05,35.29789733886719
S004_P0006,2024-01-06,85.6625747680664
S004_P0006,2024-01-07,38.102176666259766
S004_P0006,2024-01-08,14.217029571533203
S004_P0007,2024-01-02,14.477471351623535
S004_P0007,2024-01-03,6.110973358154297
S004_P0007,2024-01-04,5.649306297302246
S004_P0007,2024-01-05,0.8672609329223633
S004_P0007,2024-01-06,0.0
